name,gender,country
Sisay Lemma,men,ETH
Hailemariam Kiros,men,ETH
Hillary Kipkoech,men,KEN
Samuel Fitwi,men,GER
Amanal Petros,men,GER
Yohei Ikeda,men,JPN
Enock Onchari,men,KEN
Edward Cheserek,men,KEN
Benard Biwott,men,KEN
Suguru Osako,men,JPN
Nico Navarro,men,FRA
Andy Buchanan,men,AUS
Clayton Young,men,USA
Vinicent Nyageo,men,KEN
Patrick Mosin,men,KEN
Amane Beriso,women,ETH
Peres Jepchirchir,women,KEN
Joyciline Jepkosgei,women,KEN
Keira D'Amato,women,USA
Fikrte Wereta,women,ETH
Charlotte Purdue,women,GBR
Glenrose Xaba,women,RSA
Jessica Stenson,women,AUS
Isobel Batt-Doyle,women,AUS
Genevieve Gregson,women,AUS
Mekdes Woldu,women,FRA
Emma Bates,women,USA
Rose Harvey,women,GBR
Lindsay Flanagan,women,USA
Giovanna Epis,women,ITA
M̩line Rollin,women,FRA
Fabienne Schlump,women,SUI
Gesa Krause,women,GER
